headline,brand_extracted,farbe_filled,storage_gb
"WD Blue 6TB 3.5"" SATA-III Bulk WD60EZRZ",WD,Blau,6144.0
Logitech® M535 Bluetooth® Maus,Logitech®,Blue,
Cat S30 DualSIM LTE Outdoor Smartphone,Cat,,8.0
"Logitech® K400 Plus Wireless Tastatur, weiß",Logitech®,weiß,
"Logitech® K400 Plus Wireless Tastatur, schwarz",Logitech®,schwarz,
WD My Passport® Ultra 500GB USB 3.0 Mattschwarz,WD,Weiß,500.0
WD My Passport® Ultra 500GB USB 3.0 Königsblau,WD,Weiß,500.0
WD My Passport® Ultra 500GB USB 3.0 Wildkirsche,WD,Wildkirsche,500.0
WD My Passport® Ultra 500GB USB 3.0 Brillantweiß,WD,Weiß,500.0
Kyocera Torque LTE-Outdoor Smartphone,Kyocera,Schwarz,16.0
Wiko Pulp Dual-SIM Smartphone,Wiko,Weiß,16.0
Wiko Pulp Dual-SIM Smartphone,Wiko,Blau,16.0
Wiko Pulp FAB 4G LTE-Dual-SIM Smartphone,Wiko,Schwarz,16.0
"HP 17-p105ng Notebook (L2T07EA) 43.9 cm (17.3"") Schwarz",HP,Schwarz,
Odys Neo 6 LTE-Dual-SIM Smartphone,Odys,Weiß,16.0
"Medion Akoya E7416T (MD 99377) Touch-Notebook 43.9 cm (17.3"") Anthrazit",Medion,Anthrazit,1000.0
Acer Liquid Z630 LTE-Dual-SIM Smartphone,Acer,Silber,16.0
"Toshiba Radius 12 Convertible Ultrabook 12 P20W-C-10K 31.8 cm (12.5"") Silber",Toshiba,Silber,256.0
USB-Gaming-Maus MadCatz R.A.T.1 Schwarz-Neongelb,USB-Gaming-Maus,Schwarz-Neongelb,
Wiko Pulp 3G Dual-SIM Smartphone,Wiko,Schwarz,32.0
Asus ZenFone 2 Laser LTE-Dual-SIM Smartphone,Asus,Schwarz,16.0
renkforce Industrielle staub- und spritzwassergeschützte USB-Tastatur mit Touchpad,renkforce,Weiß,
renkforce Industrielle staub- und spritzwassergeschützte USB-Tastatur mit Touchpad,renkforce,Schwarz,
Samsung Galaxy A3 (2016) SM-A310F,Samsung,,16.0
Samsung Galaxy A5 (2016) SM-A510F,Samsung,,16.0
Microsoft Lumia 950 XL,Microsoft,,32.0
Microsoft Lumia 550 LTE-Smartphone,Microsoft,,8.0
Microsoft Lumia 550 LTE-Smartphone,Microsoft,,8.0
Motorola Moto X Force LTE-Smartphone,Motorola,,32.0
Intenso Memory Center 8TB USB 3.0,Intenso,,8192.0
Funk-Maus HP Z3200 Silber,Funk-Maus,Silber,
Funk-Maus HP X3000 Weiß,Funk-Maus,weiß,
USB-Maus HP X1000,USB-Maus,Schwarz,
"HP 15-af116ng Notebook 39.6 cm (15.6"") Schwarz",HP,Schwarz,
Alcatel One Touch Pop Star 5022D,Alcatel,Grün,8.0
Alcatel One Touch Go Play 7048X,Alcatel,,8.0
honor 5X LTE-Dual-SIM Smartphone,honor,aluminium,16.0
honor 5X LTE-Dual-SIM Smartphone,honor,aluminium,16.0
honor 5X LTE-Dual-SIM Smartphone,honor,aluminium,16.0
Bluetooth-Maus Microsoft Bluetooth Mobile Mouse 3600 Schwarz,Bluetooth-Maus,schwarz,
Huawei Mate 8 LTE-Dual-SIM Smartphone,Huawei,,32.0
Samsung Portable SSD T3 250GB USB Typ-CUSB 3.1 Gen 1,Samsung,,250.0
Samsung Portable SSD T3 500GB USB Typ-CUSB 3.1 Gen 1,Samsung,,500.0
Samsung Portable SSD T3 1TB USB Typ-CUSB 3.1 Gen 1,Samsung,,1024.0
Samsung Portable SSD T3 2TB USB Typ-CUSB 3.1 Gen 1,Samsung,,2048.0
Funk-Maus Rapoo M10 Schwarz,Funk-Maus,Schwarz,
Funk-Maus Rapoo 1190 Schwarz,Funk-Maus,Schwarz,
Funk-Maus Rapoo 1190 Weiß,Funk-Maus,Weiß,
Mini Funk-Maus Rapoo 3300P Weiß,Mini,Weiß,
Mini Funk-Maus Rapoo 3300P Schwarz,Mini,Schwarz,
Funk-Maus Rapoo 7100P Schwarz,Funk-Maus,Schwarz,
Bluetooth-Maus Rapoo 6610 Schwarz,Bluetooth-Maus,Schwarz,
Bluetooth-Maus Rapoo 6610 Grau,Bluetooth-Maus,Grau,
Funk-Maus Rapoo T8 Schwarz,Funk-Maus,Schwarz,
Funk-Maus Rapoo T8 Weiß,Funk-Maus,Weiß,
USB-Maus Rapoo N1130 Schwarz,USB-Maus,Schwarz,
USB-Maus Rapoo N1130 Weiß,USB-Maus,Weiß,
USB-Maus Rapoo N1162 Schwarz,USB-Maus,Schwarz,
USB-Maus Rapoo N1162 Weiß,USB-Maus,Weiß,
USB-Maus Rapoo N6200 Schwarz,USB-Maus,Schwarz,
USB-Gaming-Maus VPRO V500 Schwarz,USB-Gaming-Maus,Schwarz,
CAT S60 mit FLIR Wärmebildkamera,CAT,aluminium,32.0
Samsung Galaxy S7 Edge LTE-Smartphone,Samsung,Gold,32.0
ZTE Blade A452 LTE-Dual-SIM Smartphone,ZTE,,8.0
"Western Digital 8TB SATA 3,5"" WD80EFZX Red™ Serie",Western,Rot,8192.0
CHERRY MC 2000 USB-Maus Weiß,CHERRY,weiß,
CHERRY Wheelmouse Optical Weiß,CHERRY,weiß,
"Externe Festplatte 8.9 cm (3.5 "") 4TB Transcend StoreJet 35T3 Schwarz USB 3.0",Externe,Schwarz,4096.0
HUAWEI P8 Lite LTE-Dual-SIM Smartphone,HUAWEI,Gold,16.0
USB-Maus Optisch Asus UT203 Schwarz,USB-Maus,Schwarz,
HUAWEI P9 LTE-Smartphone,HUAWEI,Grau,32.0
CAT S40 Dual-SIM-LTE-Outdoor Smartphone + CAT Multifunktionswerkzeug,CAT,,16.0
Asus ZenFone Go Dual-SIM Smartphone,Asus,Schwarz,16.0
Wiko Sunny Dual-SIM Smartphone,Wiko,Rot,8.0
USB-Maus Vivanco IT-MS USB 1000 Schwarz,USB-Maus,Schwarz,
USB-Maus Vivanco IT-MS USB 1200 Schwarz,USB-Maus,Schwarz,
USB-Ladegerät für Motorräder,USB-Ladegerät,Schwarz,
Logitech® M187 Wireless Maus Blau,Logitech®,blau,
Western Digital My Book AV-TV 2TB 3.0,Western,,2048.0
"Seagate SSDH 1TB SATA-III 2.5"" STBD1000101",Seagate,,1024.0
Samsung SSD 850 EVO 4TB,Samsung,,4096.0
Honor 5C LTE-Dual-SIM Smartphone,Honor,grau,16.0
Honor 5C LTE-Dual-SIM Smartphone,Honor,aluminium,16.0
Honor 5C LTE-Dual-SIM Smartphone,Honor,gold,16.0
Seagate Wireless Plus 1TB USB 3.0 und WLAN,Seagate,,1024.0
Seagate Wireless Plus 2TB USB 3.0 und WLAN,Seagate,,2048.0
WD My Passport™ Wireless Pro 2TB,WD,,2048.0
WD My Passport™ Wireless Pro 3TB,WD,,3072.0
Samsung Portable SSD T3 500GB USB 3.1 Gen 1,Samsung,,500.0
Samsung Portable SSD T3 2TB USB 3.1 Gen 1,Samsung,,2048.0
WD My Passport® Ultra 4TB USB 3.0 Mattschwarz,WD,Weiß,4096.0
WD My Passport® Ultra 4TB USB 3.0 Königsblau,WD,Weiß,4096.0
WD My Passport® Ultra 4TB USB 3.0 Wildkirsche,WD,Wildkirsche,4096.0
WD My Passport® Ultra 4TB USB 3.0 Brillantweiß,WD,Weiß,4096.0
WD My Passport™ Wireless Pro 2TB,WD,,2048.0
WD My Passport™ Wireless Pro 3TB,WD,,3072.0
WD My Passport® Ultra 4TB USB 3.0 Wildkirsche,WD,Wildkirsche,4096.0
WD My Passport® Ultra 4TB USB 3.0 Brillantweiß,WD,,4096.0
WD My Passport® Ultra 4TB USB 3.0 Mattschwarz,WD,,4096.0
WD My Passport® für Mac 4TB USB 3.0 Schwarz/Silber,WD,Schwarz,4096.0
Honor 8 LTE-Dual-SIM Smartphone,Honor,schwarz,32.0
Honor 8 LTE-Dual-SIM Smartphone,Honor,weiß,32.0
Honor 8 LTE-Dual-SIM Smartphone,Honor,blau,32.0
"WD Black 4TB 3.5"" SATA-III Bulk WD4004FZWX",WD,Schwarz,4096.0
Honor 8 LTE-Dual-SIM Smartphone,Honor,blau,32.0
Honor 8 LTE-Dual-SIM Smartphone,Honor,aluminium,32.0
Honor 8 LTE-Dual-SIM Smartphone,Honor,aluminium,32.0
Kensington Schaumstoff-Mauspad mit Handgelenkauflage Schwarz,Kensington,Schwarz,
Kensington Mauspad Smartfit K55793EU schwarz,Kensington,Schwarz,
Funk-Maus HP Z4000,Funk-Maus,Rot,
Funk-Maus HP Z4000,Funk-Maus,Blau,
Funk-Maus HP Z4000,Funk-Maus,Lila,
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 1TB Weiß USB 3.0,WD,Weiß,1024.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 2TB Rot USB 3.0,WD,Rot,2048.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 2TB Weiß USB 3.0,WD,Weiß,2048.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 3TB Rot USB 3.0,WD,Rot,3072.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 3TB Weiß USB 3.0,WD,Weiß,3072.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 4TB Blau USB 3.0,WD,Blau,4096.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 4TB Rot USB 3.0,WD,Rot,4096.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 4TB Weiß USB 3.0,WD,Weiß,4096.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 1TB Weiß USB 3.0,WD,Weiß,1024.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 2TB Weiß USB 3.0,WD,Weiß,2048.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 3TB Weiß USB 3.0,WD,Weiß,3072.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 4TB Weiß USB 3.0,WD,Weiß,4096.0
honor 9 mit honor Band 3 - nur für kurze Zeit,honor,schwarz,64.0
honor 9 mit honor Band 3 - nur für kurze Zeit,honor,grau,64.0
honor 9 mit honor Band 3 - nur für kurze Zeit,honor,blau,64.0
Samsung Portable SSD T5 250GB USB Typ-C USB 3.1 Gen2,Samsung,aluminium,250.0
Samsung Portable SSD T5 500GB USB Typ-C USB 3.1 Gen2,Samsung,aluminium,500.0
Samsung Portable SSD T5 1TB USB Typ-C USB 3.1 Gen2,Samsung,aluminium,1024.0
Samsung Portable SSD T5 2TB USB Typ-C USB 3.1 Gen2,Samsung,aluminium,2048.0
honor 9 Lite LTE-Dual-SIM Smartphone,honor,,32.0
honor 9 Lite LTE-Dual-SIM Smartphone,honor,blau,32.0
honor 9 Lite LTE-Dual-SIM Smartphone,honor,grau,32.0
honor 9 Lite LTE-Dual-SIM Smartphone,honor,,32.0
honor 9 Lite LTE-Dual-SIM Smartphone,honor,,32.0
honor 9 Lite LTE-Dual-SIM Smartphone,honor,blau,32.0
Hama MC-200 USB Maus,Hama,weiß,
Hama Milano Wireless Maus,Hama,weiß,
Hama Milano Wireless Maus,Hama,rot,
honor 10 LTE-Smartphone - Beauty in AI + Monster AM17 In Ear-Kopfhörer,honor,schwarz,64.0
honor 10 LTE-Smartphone - Beauty in AI + Monster AM17 In Ear-Kopfhörer,honor,grau,64.0
honor 10 LTE-Smartphone - Beauty in AI + Monster AM17 In Ear-Kopfhörer,honor,blau,64.0
ASUS ZenBook Flip 15 grau,ASUS,Rauchgrau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
"<b>Das 13"" MacBook Pro mit TouchBar. Erhältlich bei Conrad. - Mehr Leistung. Mehr Performance. Pro wie noch nie.</b>",<b>Das,grau,
Apple MBP 13 CTO/MPXT2/16GB/512GB,Apple,grau,16.0
Apple MBP 13 CTO/MPXT2/16GB,Apple,grau,16.0
Apple MBP 13 CTO/MPXT2/512GB SSD,Apple,grau,512.0
Apple MBP 13 CTO/MPXQ2/512GB SSD,Apple,grau,512.0
Apple MBP 13 CTO/MPXQ2/16GB/256GB SSD,Apple,grau,16.0
Apple MBP 13 CTO/MPXU2/16GB,Apple,grau,16.0
Dynabook Tecra Z50-E-16C Notebook,Dynabook,Grau,192.0
Dynabook Tecra X40-E-1FV Notebook,Dynabook,Blau,
Dynabook Tecra X40-E-1FU Notebook,Dynabook,Blau,
Dynabook Tecra A50-E-1V3 Notebook,Dynabook,Grau,192.0
Acer Extensa 15 EX215-51-56UX Notebook,Acer,Schwarz,512.0
"SAMSUNG 860 EVO - Interne SATA SSD 6.35 cm(2.5"") 500GB + 64 GB USB-Stick",SAMSUNG,,500.0
Dynabook Satellite Pro L50-G-11L Notebook,Dynabook,schwarz,
Dynabook Satellite Pro L50-G-11N Notebook,Dynabook,schwarz,
Dynabook Satellite Pro C40-H-102 Notebook,Dynabook,blau,16.0
Lenovo Yoga 900-13,Lenovo,Silber,8.0
Lenovo Yoga 900-13,Lenovo,Silber,8.0
Lenovo 500-15 silber-weiss,Lenovo,Silber,8.0
LENOVO Yoga 500-15 schwarz,LENOVO,Schwarz,8.0
Lenovo Z51-70 silber-schwarz,Lenovo,Silber-Schwarz,8.0
LENOVO Yoga 3 Pro Silber,LENOVO,Silber,8.0
Acer Aspire E 15 (E5-574-572R),Acer,Blau,8.0
Toshiba Satellite P855-33H ,Toshiba,Schwarz,8.0
Asus X501A-XX382H Black,Asus,Schwarz,
Sony SV-E1512N1E Silber,Sony,Silber,
Sony Vaio SV-S1312N9E/B ,Sony,Schwarz,
Sony Vaio SV-S1312R9E/B ,Sony,Schwarz,8.0
Sony Vaio SV-E1113M1E/B ,Sony,Schwarz,
Sony Vaio SV-E1113M1E/W,Sony,Weiß,
SV-E14A3V1E/B ,SV-E14A3V1E/B,Schwarz,1.0
SV-E14A3V1E/P,SV-E14A3V1E/P,Pink,1.0
SV-E14A3V1E/W,SV-E14A3V1E/W,Weiß,1.0
Sony Vaio SV-E14A3V2E/S Touch ,Sony,Silber,1.0
Sony Vaio SV-1513Q1E/B ,Sony,Schwarz,
Sony Vaio SV-E1513R1E/B ,Sony,Schwarz,
Sony Vaio SV-E1713R1E/B ,Sony,Schwarz,
B53V-S4052G,B53V-S4052G,Schwarz,
Hitachi Touro Mobile MX3 Festplatte USB3.0 1TB HTOLMX3EA10001ABB,Hitachi,,1024.0
"chiliGREEN Externe Festplatte 2,5"" 1 TB USB 3.0",chiliGREEN,,1024.0
Western Digital My Book Essential 3TB WDBACW0030HBK,Western,,3072.0
Logitech M175 Funkmaus,Logitech,Schwarz,
Intenso Memory 2 Move 250 GB WLAN-Festplatte,Intenso,Schwarz,250.0
Intenso Memory 2 Move 250 GB WLAN-Festplatte,Intenso,Weiß,250.0
Intenso Memory 2 Move 500 GB WLAN-Festplatte,Intenso,,500.0
Intenso Memory 2 Move 500 GB WLAN-Festplatte,Intenso,Weiß,500.0
"Western Digital My Book AV DVR Expander 1TB, USB 2.0",Western,,1024.0
USB-Kfz-Ladegerät Picco,USB-Kfz-Ladegerät,Weiß,
SKROSS World USB Charger ,SKROSS,Weiß,
Microsoft Basic Optische Maus Weiß,Microsoft,weiß,
LogiLink<b> </b>ID0062 Optische Maus weiß,LogiLink<b>,Weiß,
LogiLink ID0063 Optische Maus schwarz,LogiLink,Schwarz,
LogiLink ID0069 Funkmaus,LogiLink,schwarz,
Logitech M150 Optische Maus Schwarz,Logitech,Schwarz,
Logitech M150 Optische Maus Weiß,Logitech,Weiß,
Logitech M150 Optische Maus Rot,Logitech,Rot,
Logitech M150 Optische Maus Blau,Logitech,Blau,
Manhattan Eclipse Funkmaus mit Touch-Panel,Manhattan,Schwarz,
Manhattan Silhouette Optische Maus Schwarz,Manhattan,Schwarz,
Manhattan Silhouette Optische Maus Weiß,Manhattan,Weiß,
HP X3000,HP,Schwarz,
Logitech T620 Touch-Maus für Windows 8 Schwarz,Logitech,Schwarz,
Logitech Touch-Maus T620 Weiß für Windows 8,Logitech,Weiß,
Logitech Touch-Maus T400 Schwarz für Windows 8,Logitech,Schwarz,
Logitech T400 Touch-Maus ,Logitech,Rot,
Microsoft Arc Touch Maus für Windows 8 Schwarz,Microsoft,schwarz,
Mad Catz R.A.T.7 The Contagion Gaming Maus Weiß,Mad,Weiß,
Mad Catz G.L.I.D.E. 7 Gaming Mauspad Grau/Weiß,Mad,Grau,
Cherry MW 3000 Funk-Maus Schwarz,Cherry,schwarz,
CHERRY Optische PC Maus MW 2110,CHERRY,Schwarz,
LogiLink optische Mini-Maus in Weiß,LogiLink,Weiß,
Microsoft Basic Optical Mouse - schwarz,Microsoft,schwarz,
Microsoft Basic Optical Mouse - weiß,Microsoft,weiß,
Caterpillar Cat® B15 Outdoor-Smartphone,Caterpillar,Silber,4.0
Seagate Wireless Plus 1TB USB 3.0 und WLAN,Seagate,,1024.0
Hama M2140 Bluetooth-Maus Schwarz,Hama,Schwarz,
Western Digital My Passport 500 GB WDBKXH5000ABK Schwarz,Western,Schwarz,500.0
Western Digital My Passport 750 GB WDBBEP7500ABK-EESN Schwarz,Western,Schwarz,750.0
Western Digital My Passport 1TB WDBBEP0010BBK Schwarz,Western,Schwarz,1024.0
Western Digital My Passport 3.0 2TB WDBY8L0020BBK Schwarz,Western,Schwarz,2048.0
"HP Compaq Presario Notebook 39,62 cm (15,6"") Schwarz",HP,Schwarz,
"Speedlink KUDOS RS Gaming Mouse, rot-schwarz",Speedlink,Rot,
Western Digital My Book for Mac 3.0 2TB WDBEKS0020HBK,Western,,2048.0
Western Digital My Book for Mac 3.0 3TB WDBEKS0030HBK,Western,,3072.0
Western Digital TV Live Hub Media Center 2 TB WDBACA0020BBK,Western,,2048.0
"Western Digital 2TB SATA 3,5"" WD2002FAEX WD Caviar Black",Western,Schwarz,2048.0
Verbatim Store 'n' Save 2TB USB 3.0,Verbatim,Grün,2048.0
Verbatim Store 'n' Save 1TB USB 3.0,Verbatim,Grün,1024.0
Elgato Thunderbolt™ SSD 120GB,Elgato,,120.0
G-TECHNOLOGY G-CONNECT 500GB,G-TECHNOLOGY,,500.0
"Transcend SSD720 64GB 2.5"" SATA III",Transcend,,64.0
"Transcend SSD720 128GB 2.5"" SATA III",Transcend,,128.0
"Transcend SSD720 256GB 2.5"" SATA III",Transcend,,256.0
Intenso Memory Center 1TB USB 3.0,Intenso,Schwarz,1024.0
Intenso Memory Center 2TB USB 3.0,Intenso,Schwarz,2048.0
Intenso Memory Center 3TB USB 3.0,Intenso,Schwarz,3072.0
Transcend STOREJET CLOUD WiFi 64GB,Transcend,,64.0
Transcend STOREJET CLOUD WiFi 32GB,Transcend,,32.0
DIGITTRADE HS256 128 GB SSD High Security externe HDD AES 256 + Acronis Backup Software HS256-120SSD ,DIGITTRADE,,128.0
"Western Digital 3TB SATA 3,5"" WD30EFRX Red™ Serie",Western,Rot,3072.0
"Western Digital 2TB SATA 3,5"" WD20EFRX Red™ Serie",Western,Rot,2048.0
"Western Digital 1TB SATA 3,5"" WD10EFRX Red™ Serie",Western,Rot,1024.0
Western Digital My Passport EDGE for Mac 500 GB USB 3.0,Western,,500.0
Buffalo MiniStation™ Air 500GB USB 3.0,Buffalo,,500.0
Verbatim Store 'n' Save 4TB USB 3.0,Verbatim,Grün,4096.0
SanDisk SSD 32 GB ReadyCache™,SanDisk,,32.0
Intenso Memory Center 4TB USB 3.0,Intenso,,4096.0
Western Digital My Passport Enterprise 500GB Schwarz,Western,Schwarz,500.0
Western Digital My Book Studio 1TB USB 3.0,Western,,1024.0
Western Digital My Book Studio 2TB USB 3.0,Western,,2048.0
Western Digital My Book Studio 3TB USB 3.0,Western,,3072.0
Western Digital My Book Studio 4TB USB 3.0,Western,,4096.0
"Western Digital 500GB SATA 3,5""",Western,Schwarz,500.0
Seagate Slim Portable  500GB USB 3.0,Seagate,,500.0
Microsoft Compact Optical Mouse 500 for Business / schwarz,Microsoft,Schwarz,
Buffalo MiniStation™ Air 500GB USB 3.0,Buffalo,,500.0
Microsoft Optical Mouse 200 in schwarz,Microsoft,Schwarz,
Microsoft Comfort Mouse 4500 for Business schwarz,Microsoft,schwarz,
"Transcend SSD 32GB PSD330 2,5"" IDE",Transcend,,32.0
"Transcend SSD 64GB PSD330 2,5"" IDE",Transcend,,64.0
"Transcend SSD 128GB PSD330 2,5"" IDE",Transcend,,128.0
"Kfz-Lade-Adapter mit Lightning-Ladekabel für iPhone 5/5s, iPod, iPad, iPad mini",Kfz-Lade-Adapter,Schwarz,
"Asus F55C-SX025H Notebook 39,62 cm (15,6"") Schwarz",Asus,Schwarz,
"Asus F75A-TY133H Notebook 43,94 cm (17,3"") Schwarz",Asus,Schwarz,
"Asus F75VB-TY041H Notebook 43,94 cm (17,3"") Schwarz",Asus,Schwarz,
"Asus A75DE-TY026H Notebook 43,94 cm (17,3"")  Schwarz",Asus,Schwarz,
Western Digital Elements™ 3.0 1TB,Western,,1024.0
Western Digital Elements™ 2TB USB 3.0,Western,,2048.0
Intenso Memory 2 Move 1 TB WLAN-Festplatte,Intenso,Schwarz,1024.0
Intenso Memory 2 Move 1 TB WLAN-Festplatte,Intenso,Weiß,1024.0
"Western Digital 3TB SATA 3,5"" WD3001FAEX",Western,Schwarz,3072.0
WD My Book AV-TV 1TB 3.0,WD,,1024.0
WD My Book AV-TV 2TB 3.0,WD,,2048.0
Hama Tastatur Basic K212,Hama,Schwarz,
"Asus F75VD-TY065H Notebook 43,94 cm (17,3"") Schwarz",Asus,Schwarz,
"Samsung Notebook Serie 3 NP350V5C-S09DE Notebook 39,62 cm (15,6"") Dunkelsilber",Samsung,Silber,500.0
"Samsung Serie 5 Ultra NP530U3C-A0DDE Ultrabook 33,78 cm (13,3"") Braun",Samsung,Braun,500.0
"Sony Vaio SVE1712L1EW Notebook 43,94 cm (17,3"") Weiß",Sony,Weiß,
"Sony Vaio SVE1512H1EB Notebook 39,5 cm (15,5"") Schwarz",Sony,Schwarz,
"Sony Vaio SVE1512H1EW Notebook 39,5 cm (15,5"") Weiß",Sony,Weiß,
"Sony Vaio SVE1512N1EB Allround Design Notebook 39,37 cm (15,5"") Schwarz",Sony,Schwarz,
"Sony Vaio SVE1512T1ESI Notebook 39,5 cm (15,5"") Silber",Sony,Silber,
CHERRY Wheelmouse Optical Hellgrau,CHERRY,grau,
CHERRY Wheelmouse Optical Schwarz,CHERRY,schwarz,
Cherry G83-6105,Cherry,Grau,
CHERRY Tastatur Strait,CHERRY,Silber,
Logitech M100 USB Maus,Logitech,Schwarz,
LogiLink Tastatur Flexibel Wasserfest,LogiLink,Weiß,
LogiLink Tastatur Flexibel Wasserfest,LogiLink,Schwarz,
LogiLink ID0031 Mini-Funkmaus,LogiLink,schwarz,
LogiLink optische USB Maus,LogiLink,schwarz,
Logilink Mini Funkmaus,Logilink,Blau,
Logilink Mini Funkmaus,Logilink,grün,
Logitech® M185 Wireless Maus,Logitech®,Grau,
Perixx Peripad-501 II in schwarz,Perixx,schwarz,
Cherry STRAIT BLACK Corded Keyboard,Cherry,Schwarz,
Mad Catz R.A.T.7 Gaming Maus Schwarz,Mad,Schwarz,
Mad Catz R.A.T.9 Wireless Gaming Maus Schwarz,Mad,Schwarz,
Logitech M525 Funkmaus Blau,Logitech,Blau,
Logitech K400 Wireless TV-Tastatur,Logitech,Schwarz,
NZXT ATX-Mainboard-Strom-Verlängerungskabel 24pol. sleeved,NZXT,Schwarz,
NZXT ATX/PES Stromverlängerung für Motherboard sleeved,NZXT,Schwarz,
NZXT 6 + 2 Pin PCIe Verlängerung sleeved,NZXT,Schwarz,
NZXT 6 Pin PCIe Verlängerung sleeved,NZXT,Schwarz,
Silverstone PP06B-2PCIE70 ATX Stecker 8pol (4+4) an ATX Stecker 8pol (6+2) 70 cm,Silverstone,Schwarz,
"Digitus Netzanschlusskabel C13-Stecker an Schutzkontakt-Stecker, 90° gewinkelt Schwarz",Digitus,Schwarz,
"LogiLink® Netzkabel Euro CEE 7/16 Stecker zu Dose, 1m, Schwarz",LogiLink®,Schwarz,
"LogiLink® Netzkabel Euro CEE 7/16 Stecker zu Dose, 2m, Schwarz",LogiLink®,Schwarz,
"LogiLink® Netzkabel Euro CEE 7/16 Stecker zu Dose, 3m, Schwarz",LogiLink®,Schwarz,
"LogiLink® Netzkabel Euro CEE 7/16 Stecker zu Dose, 1m, Weiß",LogiLink®,Weiß,
"LogiLink® Netzkabel Euro CEE 7/16 Stecker zu Dose, 2m, Weiß",LogiLink®,Weiß,
"LogiLink® Netzkabel Euro CEE 7/16 Stecker zu Dose, 3m, Weiß",LogiLink®,Weiß,
"LogiLink® Stromkabel Verlängerung, 2m, Schwarz",LogiLink®,Schwarz,
"LogiLink® Stromkabel Verlängerung, 2m, Weiß",LogiLink®,Weiß,
Speedy Skatez-BF Ersatz-Glides für EC1-A & EC2-A - gleitfähige PTFE-Beschichtung,Speedy,Schwarz,
"Speedy Skatez-A Ersatz-Glides für FK1, FK2 & ZA11, ZA12 - gleichfähige PTFE-Beschichtung",Speedy,Schwarz,
Speedy Skatez-AS Ersatz-Glides für ZA13 - gleitfähige PTFE-Beschichtung,Speedy,Schwarz,
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 1TB Schwarz USB 3.0,WD,Schwarz,1024.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 1TB Blau USB 3.0,WD,Blau,1024.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 1TB Rot USB 3.0,WD,Rot,1024.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 1TB Weiß USB 3.0,WD,Weiß,1024.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 3TB Schwarz USB 3.0,WD,Schwarz,3072.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 3TB Blau USB 3.0,WD,Blau,3072.0
WD My Passport® mit Kennwortschutz und Software für automatische Datensicherung 3TB Rot USB 3.0,WD,Rot,3072.0
